issue_id,page_number,issue,highlighted_context,error_category,confidence_score,reasoning
0,10,macro-nutrients,"As with **macro-nutrients**, 'Nutrient – Function – Source' and structure strips are excellent tools to use in order to develop knowledge and understanding, providing learners with easy-to-use resources which they can use across all units.",ErrorCategory.CONSISTENCY_ERROR,95,"The term 'macronutrients' is used without a hyphen elsewhere in the document (e.g., 'broader task involving both macronutrients and micronutrients'), indicating an inconsistency in hyphenation."
1,12,skill based,"If **skill based** practical sessions are delivered alongside this topic, there will be natural opportunities to discuss the recipes made as part of healthy, balanced diets.",ErrorCategory.STYLISTIC_PREFERENCE,85,"As a compound adjective modifying 'practical sessions', 'skill-based' should be hyphenated for clarity in British English."
2,12,adaptions,Learners should be able to suggest **adaptions** that could be made to existing recipes based on knowledge gained.,ErrorCategory.SPELLING_ERROR,98,"The correct spelling is 'adaptations', not 'adaptions'."
3,17,adaptions,Many people are diagnosed with conditions which require **adaptions** to their diet. These include:,ErrorCategory.SPELLING_ERROR,98,"The correct British English spelling for the noun meaning 'the action or process of adapting' is 'adaptations', not 'adaptions'."
4,17,adaptions,Investigate one medical condition which dictates **adaptions** to the diet.,ErrorCategory.SPELLING_ERROR,98,"The correct British English spelling for the noun meaning 'the action or process of adapting' is 'adaptations', not 'adaptions'."
5,19,Teacher led,"However, learners might present biased arguments, and care must be taken to ensure information is balanced and factual. **Teacher led** discussions and cold calling when questioning can encourage varied, in-depth conversations and an appreciation of a wide range of aspects that influence what people choose to eat.",ErrorCategory.STYLISTIC_PREFERENCE,90,The compound adjective 'Teacher-led' requires hyphenation when preceding the noun 'discussions' in British English.
6,20,including:to improve safetyto increase shelf life of foodto improve digestibility and palatability.,"| 1.4.1 Why we cook food | Learners should know the reasons why we cook food, **including:to improve safetyto increase shelf life of foodto improve digestibility and palatability.** | Class discussions are a good way to focus the subject content of this module.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,This is a run-on sentence lacking proper spacing and punctuation to present the list of reasons clearly.
7,20,"below:Discuss the benefits of cooking food.Describe ways we can improve the flavour, texture and appearance of food.Explain ways that we can improve the shelf-life of food.Discuss the ways we can ensure food is safe to eat.What are some ways to make food easier to digest, and why is this important?Information gained can be reinforced and applied during any practical tasks carried out.","Teaching and learning techniques such as 'Think-Pair-Share' and 'Everybody Writes' can be used as starting points for this module by using prompts similar to those **below:Discuss the benefits of cooking food.Describe ways we can improve the flavour, texture and appearance of food.Explain ways that we can improve the shelf-life of food.Discuss the ways we can ensure food is safe to eat.What are some ways to make food easier to digest, and why is this important?Information gained can be reinforced and applied during any practical tasks carried out.**",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"This section is a series of run-on sentences that should be formatted as a list of prompts, with appropriate punctuation and line breaks."
8,20,including:conductionconvectionradiation.,"Learners should understand how heat is transferred when cooking food, **including:conductionconvectionradiation.** | Teachers can make cross-curricular links with science for simple explanations of conduction, convection and radiation as learners will have studied heat transfer in Science and Technology.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,This is a run-on sentence lacking proper spacing and punctuation to present the list of methods clearly.
9,20,cross-curricular,"Teachers can make **cross-curricular** links with science for simple explanations of conduction, convection and radiation as learners will have studied heat transfer in Science and Technology.",ErrorCategory.STYLISTIC_PREFERENCE,90,"The compound adjective 'cross-curricular' is typically hyphenated in British English (e.g., Oxford English Dictionary, Collins Dictionary)."
