Subject,Filename,Page,Rule ID,Type,Issue,Message,Suggestions,Highlighted Context,Pass Code
Art-and-Design,gcse-art-and-design---delivery-guide.md,11,COMMA_COMPOUND_SENTENCE,uncategorized,and,Use a comma before ‘and’ if it connects two independent clauses (unless they are closely connected and short).,", and",...pected to demonstrate in their responses** and** they are then used in marking the work....,LT
Art-and-Design,gcse-art-and-design---delivery-guide.md,13,RB_RB_COMMA,uncategorized,not not,Consider adding a comma between these intensifiers.,"not, not, not",...hy of credit or not attempted. Response **not not** attempted.                             ...,LT
Art-and-Design,gcse-art-and-design---delivery-guide.md,14,SPACE_BEFORE_PARENTHESIS,typographical,(,It appears that a white space is missing.,(,...---------| | First assessment for Unit 1**(**internal assessment)  | Summer 2027  | |...,LT
Art-and-Design,gcse-art-and-design---faqs.md,1,MORFOLOGIK_RULE_EN_GB,misspelling,forWales,Possible spelling mistake found.,for Wales,...EC CBAC Ltd 2025.  <!-- image -->  Made **forWales**. Ready for the world.    {2}-----------...,LT
Art-and-Design,gcse-art-and-design---faqs.md,2,CD_TH,typographical,2 nd,Did you mean “2nd”?,2nd,... Set Assignment to learners remains the **2 nd** January in the year of awarding however...,LT
Art-and-Design,gcse-art-and-design---faqs.md,3,EN_COMPOUNDS_USER_FRIENDLY,misspelling,user friendly,This word is normally spelled with a hyphen.,user-friendly,...st challenging - will this be made more **user friendly**?  A: There is no longer a separate 'che...,LT
Art-and-Design,gcse-art-and-design---guidance-for-teaching.md,7,WHETHER,style,whether or not,"Consider shortening this phrase to just ‘whether’, unless you mean ‘regardless of whether’.",whether,"... skills to negotiate a creative future, **whether or not** they continue to study Art and Design. ...",LT
Art-and-Design,gcse-art-and-design---guidance-for-teaching.md,13,COMMA_COMPOUND_SENTENCE,uncategorized,or,Use a comma before ‘or’ if it connects two independent clauses (unless they are closely connected and short).,", or",...niques that they are knowledgeable about** or** they might be delivered by outside agen...,LT
Art-and-Design,gcse-art-and-design---guidance-for-teaching.md,16,OUTSIDE_OF,style,outside of,This phrase is redundant. Consider using “outside”.,outside,...ers' work. Many learners have interests **outside of** the classroom into which they can be im...,LT
Art-and-Design,gcse-art-and-design---guidance-for-teaching.md,16,COMMA_COMPOUND_SENTENCE,uncategorized,and,Use a comma before ‘and’ if it connects two independent clauses (unless they are closely connected and short).,", and",...ey can be immersed for their Unit 1 work** and** it might be in the skill of the teacher...,LT
Art-and-Design,gcse-art-and-design---guidance-for-teaching.md,19,EN_COMPOUNDS_TWO_DIMENSIONAL,misspelling,two dimensional,This word is normally spelled with a hyphen.,two-dimensional,... across Pathways and provision made for **two dimensional** as well as three dimensional work shoul...,LT
Art-and-Design,gcse-art-and-design---guidance-for-teaching.md,19,EN_COMPOUNDS_THREE_DIMENSIONAL,misspelling,three dimensional,This word is normally spelled with a hyphen.,three-dimensional,...ion made for two dimensional as well as **three dimensional** work should be made. Every effort shoul...,LT
Art-and-Design,gcse-art-and-design---guidance-for-teaching.md,21,EN_SPLIT_WORDS_HYPHEN,misspelling,on- screen,This word seems to contain an unnecessary hyphen.,onscreen,...tions/museum visits either in person or **on- screen** | The specification allows teachers to ...,LT
Art-and-Design,gcse-art-and-design---guidance-for-teaching.md,22,EN_SPLIT_WORDS_HYPHEN,misspelling,work- related,This word seems to be formatted incorrectly. Consider fixing the spacing or removing the hyphen completely.,"work-related, work - related",...ponses to potential career pathways and **work- related** experiences. Opportunities should be gi...,LT
Art-and-Design,gcse-art-and-design---guidance-for-teaching.md,23,PRP_MD_NN,grammar,information,"The word ‘information’ is a noun or an adjective. A verb or adverb is missing or misspelled here, or maybe a comma is missing.",,"...teachers effective, the reviewer should **information** in advance, so that There is a useful r...",LT
Art-and-Design,gcse-art-and-design---guidance-for-teaching.md,24,EN_DIACRITICS_REPLACE_ORTHOGRAPHY_SALON_DES_REFUSES,misspelling,Salon des Refuses,"‘Salon des Refuses’ is an imported foreign name or expression, which originally has a diacritic.",Salon des Refusés,...liam Blake • The Impressionists and the **Salon des Refuses** • Gwen John: amongst men • The avant-ga...,LT
Art-and-Design,gcse-art-and-design---guidance-for-teaching.md,24,EN_COMPOUNDS_ANTI_RACIST,misspelling,anti- racist,This expression is normally spelled as one or with a hyphen.,"anti-racist, antiracist",...otyping through art. Exploration of the **anti- racist** print work of Paul Peter Piech (an arra...,LT
Art-and-Design,gcse-art-and-design---guidance-for-teaching.md,25,EN_SPLIT_WORDS_HYPHEN,misspelling,work- related,This word seems to be formatted incorrectly. Consider fixing the spacing or removing the hyphen completely.,"work-related, work - related",...ponses to potential career pathways and **work- related** experiences. Each of the pathways withi...,LT
Art-and-Design,gcse-art-and-design---guidance-for-teaching.md,27,POSSESSIVE_APOSTROPHE,typographical,centres,An apostrophe may be missing.,"centres', centre's",...e likely to use digital technology at a **centres** discretion. Digital technology is appli...,LT
Art-and-Design,gcse-art-and-design---guidance-for-teaching.md,28,EN_SPLIT_WORDS_HYPHEN,misspelling,web- based,This word seems to be formatted incorrectly. Consider fixing the spacing or removing the hyphen completely.,"web-based, web - based","...ned focus period, candidates can access **web- based** software applications, however no other...",LT
Art-and-Design,gcse-art-and-design---guidance-for-teaching.md,29,EN_MULTITOKEN_SPELLING_TWO,misspelling,Paul Gaugin,Possible spelling mistake found.,Paul Gauguin,"... appropriate way). Examples could be: • **Paul Gaugin** and the Tahitian women that he painted,...",LT
Art-and-Design,gcse-art-and-design---guidance-for-teaching.md,31,EN_UNPAIRED_QUOTES,typographical,',Unpaired symbol: ‘'’ seems to be missing,,"...r areas of interest such as Paula Rego. **'**A painter of 'stories', her characters e...",LT
Art-and-Design,gcse-art-and-design---guidance-for-teaching.md,31,EN_UNPAIRED_QUOTES,typographical,',Unpaired symbol: ‘'’ seems to be missing,,... disquieting tensions below the surface.**'** The learner might go on to search respo...,LT
Art-and-Design,gcse-art-and-design---guidance-for-teaching.md,34,EN_COMPOUNDS_NON_TOXIC,misspelling,non toxic,This expression is normally spelled as one or with a hyphen.,non-toxic,... use. • Using eco-friendly pigments and **non toxic** materials wherever possible. • Working ...,LT
Art-and-Design,gcse-art-and-design---guidance-for-teaching.md,36,ALL_OF_THE,style,all of the,Consider removing “of” to be more concise,all the,"...ecycle, repair, rethink and refuse - in **all of the** work that they create. • Consider their...",LT
Art-and-Design,gcse-art-and-design---guidance-for-teaching.md,36,POSSESSIVE_APOSTROPHE,typographical,products,An apostrophe may be missing.,"products', product's","...work that they create. • Consider their **products** life cycle - how are materials sourced,...",LT
Art-and-Design,gcse-art-and-design---guidance-for-teaching.md,36,EN_COMPOUNDS_MOCK_UPS,misspelling,mock ups,This word is normally spelled with a hyphen.,mock-ups,...use of early development paper and card **mock ups**. Graphic Communication Example:   | |--...,LT
Art-and-Design,gcse-art-and-design---guidance-for-teaching.md,37,EN_COMPOUNDS_MOCK_UPS,misspelling,mock ups,This word is normally spelled with a hyphen.,mock-ups,... size of the work to be displayed - can **mock ups** or maquettes be used as an alternative ...,LT
Art-and-Design,gcse-art-and-design---guidance-for-teaching.md,37,EN_COMPOUNDS_TWO_DIMENSIONAL,misspelling,two dimensional,This word is normally spelled with a hyphen.,two-dimensional,...Photography relies on the transfer of a **two dimensional** light based image onto paper through th...,LT
Art-and-Design,gcse-art-and-design---guidance-for-teaching.md,38,ALL_AND_ALL,misspelling,all and all,"This phrase is nonstandard. Did you mean “all in all” (=after all, nevertheless)?",all in all,...tant to Learners because RSE affects us **all and all** learners should take the opportunity to...,LT
Art-and-Design,gcse-art-and-design---guidance-for-teaching.md,38,ALL_AND_ALL,misspelling,all and all,"This phrase is nonstandard. Did you mean “all in all” (=after all, nevertheless)?",all in all,...tant to Learners because RSE affects us **all and all** learners should take the opportunity to...,LT
Art-and-Design,gcse-art-and-design---guidance-for-teaching.md,38,ALL_AND_ALL,misspelling,all and all,"This phrase is nonstandard. Did you mean “all in all” (=after all, nevertheless)?",all in all,...tant to Learners because RSE affects us **all and all** learners should take the opportunity to...,LT
Art-and-Design,gcse-art-and-design---guidance-for-teaching.md,39,APOSTROPHE_IN_DATES,typographical,1980's,Apostrophes aren’t needed for decades.,1980s,...f stigma around sexual health since the **1980's** when the 'Don't Die of Ignorance' campa...,LT
