issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,5,of any of,...t replicate or overlap with the content **of any of** the other selected units.**  The qualif...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,The phrase 'of any of' is grammatically correct and contextually appropriate.
1,9,fueled,"...ps, discuss key questions such as: What **fueled** Southern resistance to Civil Rights? or...",PassCode.LTC,ErrorCategory.SPELLING_ERROR,80,"'Fueled' should be 'fueled' in UK English, but the context suggests it is correct as 'fueled' is acceptable in US English, which is often used in educational contexts."
2,10,outside of,...and why the situation was still unequal **outside of** the South. Advanced activity: Assess th...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,70,'Outside of' is acceptable but 'outside' is more concise and preferred in formal writing.
3,10,Colored,...onal Association for the Advancement of **Colored** People (NAACP)   History Britannica htt...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,70,'Colored' is acceptable but 'coloured' is the preferred UK English spelling.
4,13,1920's,...20s. | Website(s): Economic Boom in the **1920's**: Causes Schoolshistory.org.uk Video(s):...,PassCode.LTC,ErrorCategory.PARSING_ERROR,90,The apostrophe is incorrectly encoded as '&#x27;' instead of a standard apostrophe.
5,13,20's,...olshistory.org.uk Video(s): The Roaring **20's**: Crash Course US History | 2.5 hours | ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,90,The apostrophe is incorrectly encoded as '&#x27;' instead of a standard apostrophe.
6,14,Definiti,"...istory and Culture Harlem Renaissance - **Definiti** on, Artists & How It Started   HISTORY ...",PassCode.LTC,ErrorCategory.PARSING_ERROR,80,"The word 'Definiti' appears to be a typo or a formatting error, likely missing the 'on' part."
7,15,post war,... World War on production. The impact of **post war** restoration of high economic protection...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,70,'Post war' is acceptable but 'post-war' is the preferred hyphenated form in formal writing.
8,17,ill treatment,"...he ""Double V"" campaign. Segregation and **ill treatment** of African Americans in the armed force...",PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,70,'Ill treatment' is acceptable but 'ill-treatment' is the preferred hyphenated form in formal writing.
9,19,Organization,...r</li><li>the campaigns of the National **Organization** for Women (NOW).</li></ul> | The impact...,PassCode.LTC,ErrorCategory.SPELLING_ERROR,80,"'Organization' should be 'organisation' in UK English, which is the preferred spelling for formal documents."
10,19,Organization,.... Describe the reasons for the National **Organization** for Women (NOW)'s key campaigns. | Vide...,PassCode.LTC,ErrorCategory.SPELLING_ERROR,90,The correct spelling is 'Organization' with a capital 'O' as it is a proper noun.
11,19,"""","...campaigns. | Video(s): Women's History: **""**What is ""second wave"" feminism?"" Second ...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,80,The quotation marks are correctly used to denote a title or a quote.
12,19,"""","...istory: ""What is ""second wave"" feminism?**""** Second Wave Feminism: The Equal Rights ...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,80,The quotation marks are correctly used to denote a title or a quote.
13,20,Organization,...azine Website(s): Highlights   National **Organization** for Women |  | |-----------------------...,PassCode.LTC,ErrorCategory.SPELLING_ERROR,90,The correct spelling is 'Organization' with a capital 'O' as it is a proper noun.
14,25,evidencebased,... and quantify change. Learners can draw **evidencebased** conclusions based on statics and numeri...,PassCode.LTC,ErrorCategory.PARSING_ERROR,90,The word 'evidencebased' should be hyphenated as 'evidence-based' to adhere to UK English spelling rules.
