issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,5,of any of,...t replicate or overlap with the content **of any of** the other selected units.**  The qualif...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,The phrase 'of any of' is grammatically correct and contextually appropriate.
1,8,mid fourteenth,....uk/>**  # 1.2 Background: Wales in the **mid fourteenth** century (Each option begins with a back...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,85,'mid fourteenth' is a correct and acceptable term for the period.
2,16,Sycharth Sycharth,...r: Issue and descendants Owain Glyndwr: **Sycharth Sycharth** | 1 hour |  {17}-----------------------...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The repetition of 'Sycharth Sycharth' is a clear error and should be corrected.
3,33,Triparte,...d-the-welsh-revolt)  #### **Map(s):**  [**Triparte**](https://commons.wikimedia.org/wiki/Fil...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,80,'Triparte' is a proper noun and correctly spelled in this context.
4,33,"""","...f Wales,* by Terry Breverton, Chapter 9 **""**The Rise and Fall of  {34}--------------...",PassCode.LTC,ErrorCategory.PARSING_ERROR,90,The quotation mark at the end of the sentence is misplaced and should be removed.
5,40,Mid Wales,...-owain-glyndwr-16-september.pdf) Day - [**Mid Wales**](https://downloads.bbc.co.uk/wales/arch...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,85,'Mid Wales' is a correct and acceptable term for the region.
6,41,The are,"... rather than the weakness of the Welsh. **The are** also opportunities for debates, such as...",PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The phrase 'The are' is missing the word 'there' and should be corrected.
7,42,Mid Wales,"... is also the Parliament in Machynlleth, **Mid Wales**. |  | | Relationships and Sexuality Edu...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,85,'Mid Wales' is a correct and acceptable term for the region.
8,45,evidencebased,... and quantify change. Learners can draw **evidencebased** conclusions based on statistics and num...,PassCode.LTC,ErrorCategory.PARSING_ERROR,90,'evidencebased' should be hyphenated as 'evidence-based' for correct spelling.
9,46,crosscurricular,...tunities will allow learners to develop **crosscurricular** skills which underpin the four purposes...,PassCode.LTC,ErrorCategory.PARSING_ERROR,90,'crosscurricular' should be hyphenated as 'cross-curricular' for correct spelling.
