issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,3,whou,... were not able to vote and the only men **whou** could were those who owned their own ho...,PassCode.LTC,ErrorCategory.SPELLING_ERROR,90,"The correct spelling is 'who', not 'whou'."
1,3,politicl,"...ngaged in direct action; they disrupted **politicl** meetings, chained themselves to railing...",PassCode.LTC,ErrorCategory.SPELLING_ERROR,90,"The correct spelling is 'political', not 'politicl'."
2,3,license,...'s door and leave them at liberty under **license** until they have recovered their health ...,PassCode.LTC,ErrorCategory.SPELLING_ERROR,90,"The correct spelling is 'licence' (UK English), not 'license'."
3,5,organization,"...e German colonies, and an international **organization** to prevent war.  In an off-the-cuff spe...",PassCode.LTC,ErrorCategory.SPELLING_ERROR,90,"The correct spelling is 'organisation' (UK English), not 'organization'."
4,5,shole,"... that Germany should be made to pay the **shole** cost of the war. Sir Eric Geddes, one o...",PassCode.LTC,ErrorCategory.SPELLING_ERROR,90,"The correct spelling is 'whole', not 'shole'."
5,6,were,...ce which shall endure would be hastened **were** it possible for America to take her pla...,PassCode.LTC,ErrorCategory.SPELLING_ERROR,90,The correct spelling is 'were' as it is the correct subjunctive form.
6,9,worstaffected,... (22.1% of the working population). The **worstaffected** areas were the old industrial centres o...,PassCode.LTC,ErrorCategory.SPELLING_ERROR,90,"The correct spelling is 'worst-affected' or 'worst affected', not 'worstaffected'."
7,9,dependants,... heads of families. An unemployed man's **dependants** do not figure on the list unless they t...,PassCode.LTC,ErrorCategory.SPELLING_ERROR,90,"The correct spelling is 'dependants' (UK English), not 'dependants'."
8,11,British empire,"...nd after the [First World] War, and the **British empire** was based on crude racial assumptions. ...",PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,70,"The term 'British empire' is correct, but 'British Empire' with capital letters is more conventional for proper nouns."
9,13,dancehall,"...to spend. If white Americans favoured a **dancehall** or pub, then black men found themselves...",PassCode.LTC,ErrorCategory.SPELLING_ERROR,90,"The correct spelling is 'dancehall', not 'dancehall'."
10,13,1950's,"...o sound on this footage.**  [Tiger Bay, **1950's** -](https://www.youtube.com/watch?v=XrQ4...",PassCode.LTC,ErrorCategory.PARSING_ERROR,90,Missing apostrophe in '1950's'.
11,14,uppermiddle-class,"... him and said: ""This is going to be the **uppermiddle-class** English version of our Tennessee Monkey...",PassCode.LTC,ErrorCategory.PARSING_ERROR,85,Missing hyphen in 'upper-middle-class'.
12,15,the girls around her,"...ting the mini. For that, she pointed to **the girls around her**, the teen customers who'd begun mobbing...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,Correct phrasing for context; no error.
13,16,fifteenyear-old,"... attended the pilgrimage to commemorate **fifteenyear-old** Mary Jones, who in 1800, after saving m...",PassCode.LTC,ErrorCategory.PARSING_ERROR,80,Missing hyphen in 'fifteen-year-old'.
14,17,Catholic church,...hows the pattern for Anglican and Roman **Catholic church** attendance in the UK across the twentie...,PassCode.LTC,ErrorCategory.PARSING_ERROR,85,Missing space in 'Catholic church'.
15,18,gonna,"...g contract, but not in a way that we're **gonna** compromise anything that we do. Which i...",PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,70,'Gonna' is informal but acceptable in quoted speech.
16,19,',"...usic journalist, writing in the article **'**About Punk Music in  Wales' as part of t...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,Correct use of HTML entity for apostrophe.
17,19,',.../pages/about_punk.shtml) part one (from **'**The 'birth' of punk…' to 'They tried to ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,Correct use of HTML entity for apostrophe.
18,19,',...ml) part one (from 'The 'birth' of punk…**'** to 'They tried to play it live on the d...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,Correct use of HTML entity for apostrophe.
19,19,"""","...day in Llandaff fields but were arrested**""**.')  **Theme** Culture  **Topic** Punk –...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,85,Correct use of HTML entity for quotation mark.
20,19,un-punk,"...e cultural fabric. Nostalgia, that most **un-punk** of notions, hangs heavy over festivals ...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,"The hyphenated form 'un-punk' is a valid stylistic choice for emphasis, not an error."
21,20,1950's,"...n? - BBC Newsround | | 23. | Tiger Bay, **1950's** - Film 96861 - YouTube | | 24. | Shamef...",PassCode.LTC,ErrorCategory.PARSING_ERROR,85,The apostrophe is incorrectly encoded as '&#x27;' instead of a standard apostrophe.
