issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,5,of any of,...t replicate or overlap with the content **of any of** the other selected units.**  The qualif...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,The phrase 'of any of' is grammatically correct and contextually appropriate.
1,13,',"...ration for the main task.  Use the 1950s**'** print, and the Canary girls and Vital R...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,85,The apostrophe is correctly used in '1950s' as an abbreviation for '1950s'.
2,13,12 minute,...en-in-the-first-world-war) (including a **12 minute** video)  [BBC Blogs -](https://www.bbc.c...,PassCode.LTC,ErrorCategory.PARSING_ERROR,80,The phrase '12 minute' should be '12-minute' as a compound adjective.
3,13,',...et-haig-thomas)  # **Image(s):**  [1950s**'** educational](https://www.prints-online....,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,85,The apostrophe is correctly used in '1950s' as an abbreviation for '1950s'.
4,19,workingclass,...in Wales.  The hardships experienced by **workingclass** people in Wales and the ways in which t...,PassCode.LTC,ErrorCategory.PARSING_ERROR,90,The word 'workingclass' should be 'working-class' with a hyphen.
5,19,in 1930s,...r-March/)  #### **Video(s):**  [Poverty **in 1930s**](https://www.youtube.com/watch?v=QqpNcH...,PassCode.LTC,ErrorCategory.PARSING_ERROR,85,The phrase 'in 1930s' should be 'in the 1930s' for grammatical correctness.
6,23,and,...s period in your locality. What are they** and** what are they about?  **Tourism** (use ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,80,The use of 'and' without a comma is acceptable in this context.
7,23,in 1930s,... 5.1 and 6.1  # **Video(s):**  [Poverty **in 1930s**](https://www.youtube.com/watch?v=QqpNcH...,PassCode.LTC,ErrorCategory.PARSING_ERROR,85,The phrase 'in 1930s' should be 'in the 1930s' for grammatical correctness.
8,24,rationing,...ow many calories per day per person did **rationing** allow for?</li><li>What perks did warti...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,80,The word 'rationing' is correctly used in this context.
9,33,years,...n in Wales: <ul><li>education and early **years** literature</li><li>changes in consumer ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,85,The phrase 'early years' is correctly used in this context.
10,44,evidencebased,... and quantify change. Learners can draw **evidencebased** conclusions based on statistics and num...,PassCode.LTC,ErrorCategory.PARSING_ERROR,90,Missing hyphen in compound adjective 'evidence-based'.
11,45,crosscurricular,...tunities will allow learners to develop **crosscurricular** skills which underpin the four purposes...,PassCode.LTC,ErrorCategory.PARSING_ERROR,90,Missing hyphen in compound adjective 'cross-curricular'.
